model,MAE,RMSE,R2
Dummy,2052.4352702092424,2449.8871519358,-1.0329129927112528
LinearRegression,1.4029705358392836e-12,1.6268313610152973e-12,1.0
Ridge,31.964292398221474,32.933965452200376,0.9996326206998611
