model,MAE,RMSE,R2,Adjusted_R2,Best_Params,Train_Time
RandomForest,2.5076933701657453,4.294221008516164,0.9996190500267584,0.999617729728792,"{'n_estimators': 100, 'max_features': 0.3, 'max_depth': None}",60.63601446151733
GradientBoosting,2.236030674003245,3.295758735173051,0.9997756066478306,0.999774828944438,"{'subsample': 0.9, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.1}",111.42070031166077
XGBoost,0.0571235828101635,0.0886971345289461,0.9999998211860656,0.9999998205663316,"{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",18.72382044792176
RandomForest,2.659575276243093,4.5954275143946335,0.9995543159173188,0.9995519946460548,"{'n_estimators': 100, 'max_features': 0.3, 'max_depth': None}",54.90752387046814
GradientBoosting,0.299457015129529,0.4032259462566007,0.9999965685930784,0.9999965507211674,"{'subsample': 0.9, 'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.2}",145.32606863975525
XGBoost,0.05461100488901138,0.08322461649876399,0.9999998807907104,0.9999998801698288,"{'subsample': 1.0, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.1, 'colsample_bytree': 1.0}",27.730578422546387
