Model,R² Score,MAE,RMSE
Linear Regression,0.686340120071204,73.16311989778514,99.66026850098764
Random Forest,0.9084367338640571,34.15904839135021,53.84597000244392
XGBoost,0.9331176280975342,29.330957412719727,46.02020085482842
